key,en,vi,ko
ConnectPlcBeforeRun,Connect PLC in PLC CONNECTION before RUN.,Kết nối PLC trong phần PLC CONNECTION trước khi RUN.,RUN 전에 PLC CONNECTION에서 PLC를 연결하십시오.
PlcConfigChanged,PLC configuration changed. Disconnect and reconnect before RUN.,Cấu hình PLC đã thay đổi. Ngắt kết nối rồi kết nối lại trước khi RUN.,PLC 구성이 변경되었습니다. RUN 전에 연결을 해제한 후 다시 연결하십시오.
HardwareTriggerNeedsCamera,Hardware trigger requires a connected camera.,Trigger phần cứng cần camera đang kết nối.,하드웨어 트리거에는 연결된 카메라가 필요합니다.
PlcConnectionLost,PLC CONNECTION LOST · Disconnect and check cable/configuration before reconnecting.,MẤT KẾT NỐI PLC · Disconnect và kiểm tra cáp/cấu hình trước khi kết nối lại.,PLC 연결 끊김 · 다시 연결하기 전에 연결을 해제하고 케이블/구성을 확인하십시오.
NoNewCameraFrame,No new camera frame is available for this end.,Chưa có camera frame mới cho đầu này.,이 끝에 사용할 새 카메라 프레임이 없습니다.
PlcTriggeredFrameTimeout,Camera did not return a frame after the PLC trigger.,Camera không trả frame sau khi PLC kích trigger.,PLC 트리거 후 카메라 프레임이 수신되지 않았습니다.
ManualAction,manual action,thao tác tay,수동 조작
PlcOutputError,PLC OUTPUT ERROR,LỖI OUTPUT PLC,PLC 출력 오류
PlcOutputStoppedFormat,Result saved but RUN stopped to prevent continuation after a PLC OUTPUT error. {0},Kết quả đã lưu nhưng RUN đã dừng để tránh chạy tiếp khi OUTPUT PLC lỗi. {0},결과는 저장되었으나 PLC 출력 오류 후 계속 실행되지 않도록 RUN을 중지했습니다. {0}
CameraReconnectInfoMissing,Camera information is no longer available for reconnect.,Không còn thông tin camera để kết nối lại.,재연결할 카메라 정보가 없습니다.
CameraLostDuringCycle,Camera connection lost during the inspection cycle.,Mất kết nối camera giữa chu kỳ.,검사 주기 중 카메라 연결이 끊어졌습니다.
InvalidDecimalFormat,{0} is invalid. Use a decimal point.,{0} không hợp lệ. Dùng dấu chấm thập phân.,{0} 값이 올바르지 않습니다. 소수점은 점을 사용하십시오.
IntegerRequiredFormat,{0} must be an integer.,{0} phải là số nguyên.,{0}은(는) 정수여야 합니다.
NoPreviousResult,NO PREVIOUS RESULT,CHƯA CÓ KẾT QUẢ TRƯỚC,이전 결과 없음
NotSelected,NOT SELECTED,CHƯA CHỌN,선택 안 됨
WaitingEnd1,WAITING END 1,CHỜ ĐẦU 1,1단 대기
WaitingEnd2,WAITING END 2,CHỜ ĐẦU 2,2단 대기
NotRunning,NOT RUNNING,CHƯA CHẠY,실행 안 됨
Stopped,STOPPED,ĐÃ DỪNG,중지됨
CameraConnected,CAMERA · CONNECTED,CAMERA · ĐÃ KẾT NỐI,카메라 · 연결됨
CameraAcquiring,CAMERA · ACQUISITION,CAMERA · ACQUISITION,카메라 · 영상 수집 중
CameraOffline,CAMERA · OFFLINE,CAMERA · OFFLINE,카메라 · 오프라인
PlcConnected,PLC · CONNECTED,PLC · ĐÃ KẾT NỐI,PLC · 연결됨
PlcOffline,PLC · OFFLINE,PLC · OFFLINE,PLC · 오프라인
PlcUnused,PLC · NOT USED,PLC · KHÔNG DÙNG,PLC · 사용 안 함
EndTitleFormat,END {0},ĐẦU {0},{0}단
DirectionUpright,Upright · required 0°,Thuận · bắt buộc 0°,정방향 · 0° 필수
DirectionInverted,Inverted · required 180°,Nghịch · bắt buộc 180°,역방향 · 180° 필수
DirectionAuto,Do not check direction · Auto,Không kiểm tra chiều · Auto,방향 검사 안 함 · 자동
NoRoi,No ROI,Chưa có ROI,ROI 없음
RoiSummaryFormat,{0} · {1} × {2} px,{0} · {1} × {2} px,{0} · {1} × {2} px
LoadReferenceFirst,Load a reference image to begin.,Load ảnh mẫu để bắt đầu.,시작하려면 기준 이미지를 불러오십시오.
ChangesNeedApply,Changes detected · Apply required.,Có thay đổi · cần Apply.,변경됨 · 적용 필요
DrawSearchRoi,Draw one large ROI around all text regions.,Vẽ một ROI lớn bao quanh tất cả vùng text.,모든 텍스트 영역을 포함하는 큰 ROI 하나를 그리십시오.
SavedRecipeLoaded,Saved recipe loaded.,Recipe đã lưu.,저장된 레시피를 불러왔습니다.
AppliedNeedSave,Applied · Save Recipe to store both ends.,Đã Apply · Save Recipe để lưu cả hai đầu.,적용됨 · 양쪽 끝을 저장하려면 레시피를 저장하십시오.
DetectedRegionsFormat,Detected {0} regions · actual direction {1}° · sample text unchanged.,Detect {0} vùng · chiều thực tế {1}° · text mẫu không bị thay đổi.,{0}개 영역 검출 · 실제 방향 {1}° · 샘플 텍스트 변경 없음
WaitingImage,WAITING IMAGE,CHỜ ẢNH,이미지 대기
ProcessingOcr,PROCESSING OCR,ĐANG OCR,OCR 처리 중
ImageEndFormat,END {0} IMAGE,ẢNH ĐẦU {0},{0}단 이미지
CloseDiscardChanges,Exit and discard unsaved changes?,Thoát và bỏ thay đổi chưa lưu?,저장되지 않은 변경을 버리고 종료하시겠습니까?
SingleInstanceOnly,Wire Marker Inspection is already running. Only one session is allowed per user.,Wire Marker Inspection đang chạy. Chỉ mở một phiên cho mỗi người dùng.,Wire Marker Inspection이 이미 실행 중입니다. 사용자당 하나의 세션만 실행할 수 있습니다.
LiveCameraExpandedTitle,LIVE CAMERA,ẢNH CAMERA LIVE,라이브 카메라
RecipeImageEditorTitle,RECIPE IMAGE EDITOR,CHỈNH ẢNH RECIPE,레시피 이미지 편집기
Camera,CAMERA,CAMERA,카메라
CameraReadyToConnect,CAMERA READY TO CONNECT,CAMERA SẴN SÀNG KẾT NỐI,카메라 연결 준비 완료
SimulatorReady,SIMULATOR · OFFLINE IMAGE,SIMULATOR · ẢNH OFFLINE,시뮬레이터 · 오프라인 이미지
SimulatorReadyWithCamerasFormat,SIMULATOR · {0} physical camera available,SIMULATOR · có {0} camera vật lý,시뮬레이터 · 실제 카메라 {0}대 사용 가능
SimulatorReadyMessage,SIMULATOR · Select a saved model then open RUN and load the two end images.,SIMULATOR · Chọn model đã lưu rồi mở RUN và load ảnh hai đầu.,시뮬레이터 · 저장된 모델을 선택한 후 RUN을 열고 양단 이미지를 불러오십시오.
SimulatorSearchTimeoutMessage,SIMULATOR remains available · Physical camera search timed out.,SIMULATOR vẫn sẵn sàng · Tìm camera vật lý quá thời gian.,시뮬레이터 사용 가능 · 실제 카메라 검색 시간이 초과되었습니다.
SimulatorSearchErrorFormat,SIMULATOR remains available · Physical camera search error: {0},SIMULATOR vẫn sẵn sàng · Lỗi tìm camera vật lý: {0},시뮬레이터 사용 가능 · 실제 카메라 검색 오류: {0}
SimulatorNoParameters,Simulator uses image files and has no acquisition parameters.,Simulator dùng file ảnh và không có thông số acquisition.,시뮬레이터는 이미지 파일을 사용하며 영상 수집 파라미터가 없습니다.
SimulatorRunCamera,CAMERA · SIMULATOR,CAMERA · SIMULATOR,카메라 · 시뮬레이터
SimulatorRunPlc,PLC · BYPASSED IN SIMULATOR,PLC · BỎ QUA TRONG SIMULATOR,PLC · 시뮬레이터에서 건너뜀
SimulatorTriggerStatus,SIMULATOR · LOAD OFFLINE IMAGE,SIMULATOR · LOAD ẢNH OFFLINE,시뮬레이터 · 오프라인 이미지 불러오기
